                                          7     0.1929  9.137E-01  9.722E-01  6.400E-02
                                          4     0.3361  2.741E-02  2.782E-02  1.495E-02
 12   0.663700   4.0 -1             2 u                    (4-)  0                                                                                                                                                                                                                              0.000000  4    
                                          8     0.2030  8.663E-01  9.130E-01  5.390E-02
                                          5     0.3397  8.576E-02  8.700E-02  1.442E-02
 13   0.676100   7.0  1             1 g                          0                                                                                                                                                                                                                              0.000000       
                                          6     0.2324  9.485E-01  1.000E+00  5.430E-02
 14   0.878800   5.0 -1             2 u                    (5-)  0                                                                                                                                                                                                                              0.000000  1    
                                         12     0.2151  7.432E-01  7.762E-01  4.440E-02
                                          8     0.4180  2.222E-01  2.238E-01  7.290E-03
 15   0.886600   5.0  1             2 u                    (5+)  0                                                                                                                                                                                                                              0.000000  5    
                                         11     0.2379  6.971E-01  7.193E-01  3.190E-02
                                          7     0.4311  2.788E-01  2.807E-01  6.600E-03
 16   0.937500   7.0 -1             2 u                    (7-)  0                                                                                                                                                                                                                              0.000000  2    
                                          9     0.3676  8.238E-02  8.306E-02  8.200E-03
                                          3     0.6806  9.154E-01  9.169E-01  1.713E-03
 17   1.059300   6.0  1             3                      (6+)  0                                                                                                                                                                                                                              0.000000  6    
                                         13     0.3830  4.055E-02  4.085E-02  7.260E-03
                                          9     0.4899  7.134E-02  7.144E-02  1.357E-03
                                          3     0.8021  8.873E-01  8.877E-01  4.380E-04
 18   1.175800   6.0  1             2                      (6+)  0                                                                                                                                                                                                                              0.000000  7    
                                         15     0.2890  5.715E-01  5.813E-01  1.710E-02
                                         11     0.5271  4.172E-01  4.187E-01  3.550E-03
 19   1.185700   6.0  1             2                      (6+)  0                                                                                                                                                                                                                              0.000000  3    
                                         15     0.2992  6.557E-01  6.658E-01  1.534E-02
                                         11     0.5370  3.331E-01  3.342E-01  3.360E-03
 20   1.207100   6.0 -1             2                      (6-)  0                                                                                                                                                                                                                              0.000000  4    
                                         14     0.3282  7.073E-01  7.155E-01  1.153E-02
                                         12     0.5434  2.836E-01  2.845E-01  3.250E-03
 21   1.290200   7.0  1             3                      (7+)  0                                                                                                                                                                                                                              0.000000  8    
                                         18     0.1141  4.689E-02  6.528E-02  3.920E-01
                                         17     0.2310  6.699E-01  6.934E-01  3.510E-02
                                          9     0.7201  2.412E-01  2.413E-01  5.520E-04
 22   1.358600   8.0 -1  7.900E-13  2                      (8-)  0                                                                                                                                                                                                                              0.000000  0    
                                         16     0.4212  1.164E-01  1.171E-01  5.510E-03
                                          9     0.7884  8.819E-01  8.829E-01  1.161E-03
 23   1.488700   7.0 -1             2                      (7-)  0                                                                                                                                                                                                                              0.000000  1    
                                         20     0.2816  4.796E-01  4.886E-01  1.856E-02
                                         14     0.6099  5.103E-01  5.114E-01  2.323E-03
 24   1.490500   8.0  1             5                      (8+)  0                                                                                                                                                                                                                              0.000000  6    
                                         21     0.2000  1.602E-01  1.692E-01  5.660E-02
                                         19     0.3047  2.202E-02  2.248E-02  2.090E-02
                                         18     0.3150  4.805E-02  4.895E-02  1.864E-02
                                         17     0.4313  6.674E-01  6.718E-01  6.590E-03
                                         16     0.5530  8.743E-02  8.752E-02  1.011E-03
 25   1.509600   7.0  1             3                      (7+)  0                                                                                                                                                                                                                              0.000000  5    
                                         19     0.3239  2.853E-01  2.887E-01  1.201E-02
                                         18     0.3337  1.950E-01  1.971E-01  1.096E-02
                                         15     0.6230  5.131E-01  5.142E-01  2.187E-03
 26   1.764600   8.0  1             3                      (8+)  0                                                                                                                                                                                                                              0.000000  7    
                                         21     0.4742  3.172E-01  3.185E-01  3.950E-03
                                         19     0.5789  2.266E-01  2.272E-01  2.700E-03
                                         18     0.5889  4.532E-01  4.543E-01  2.570E-03
 27   1.823900   9.0  1             2                      (9+)  0                                                                                                                                                                                                                              0.000000  8    
                                         24     0.3335  7.900E-01  7.987E-01  1.098E-02
                                         21     0.5337  2.007E-01  2.013E-01  3.420E-03
 28   1.825100   9.0 -1  3.500E-13  2                      (9-)  0                                                                                                                                                                                                                              0.000000  2    
                                         22     0.4666  5.654E-02  5.678E-02  4.130E-03
                                         16     0.8876  9.424E-01  9.432E-01  8.620E-04
 29   1.916200   8.0  1             2                      (8+)  0                                                                                                                                                                                                                              0.000000  3    
                                         25     0.4066  5.135E-01  5.166E-01  6.100E-03
                                         19     0.7305  4.827E-01  4.834E-01  1.416E-03
 30   1.957300   8.0 -1             2                      (8-)  0                                                                                                                                                                                                                              0.000000  4    
                                         23     0.4686  5.304E-01  5.326E-01  4.080E-03
                                         20     0.7502  4.668E-01  4.674E-01  1.320E-03
 31   2.267900  10.0  1             2                     (10+)  0                                                                                                                                                                                                                              0.000000  6    
                                         27     0.4439  9.569E-02  9.615E-02  4.750E-03
                                         24     0.7773  9.028E-01  9.039E-01  1.204E-03
 32   2.305600   9.0 -1  8.000E-13  2                      (9-)  0                                                                                                                                                                                                                              0.000000  1    
                                         30     0.3484  2.181E-01  2.202E-01  9.620E-03
                                         23     0.8168  7.790E-01  7.798E-01  1.060E-03
 33   2.323300   9.0  1  7.300E-13  2                      (9+)  0                                                                                                                                                                                                                              0.000000  5    
                                         29     0.4068  2.799E-01  2.816E-01  6.090E-03
                                         25     0.8138  7.176E-01  7.184E-01  1.070E-03
 34   2.350900  10.0 -1  1.700E-13  2                     (10-)  0                                                                                                                                                                                                                              0.000000  0    
                                         28     0.5259  2.437E-02  2.445E-02  2.980E-03
                                         22     0.9923  9.749E-01  9.756E-01  6.600E-04
 35   2.615400  11.0  1  6.600E-13  2                     (11+)  0                                                                                                                                                                                                                              0.000000  8    
                                         31     0.3476  2.416E-01  2.440E-01  9.690E-03
                                         27     0.7915  7.551E-01  7.560E-01  1.149E-03
 36   2.618500  10.0  1             1                     (10+)  0                                                                                                                                                                                                                              0.000000  7    
                                         26     0.8539  9.991E-01  1.000E+00  9.480E-04
 37   2.867100  10.0  1  3.000E-13  2                     (10+)  0                                                                                                                                                                                                                              0.000000  3    
                                         33     0.5437  1.378E-01  1.382E-01  2.720E-03
