                                          6     1.1140  6.013E-02  6.013E-02  7.430E-05
                                          5     1.1930  1.002E-02  1.002E-02  8.430E-05
                                          3     1.6850  2.004E-02  2.005E-02  1.781E-04
                                          2     2.0640  2.004E-01  2.006E-01  6.940E-04
                                          1     3.7810  6.681E-01  6.691E-01  1.590E-03
 22   3.788000   2.5  1  2.281E-18  0 c               3/2+,5/2+  0                                                                                                                                                                                                                              0.000000       
 23   3.808000   0.5  1             0 c          (1/2,3/2,5/2)+  0                                                                                                                                                                                                                              0.000000       
 24   3.905000   1.5  1             0 n                          0                                                                                                                                                                                                                              0.000000       
 25   3.969000   0.5  1  1.141E-19  0 u                    1/2+  0                                                                                                                                                                                                                              0.000000       
 26   4.023300   3.5 -1             7 u                  (7/2-)  0                                                                                                                                                                                                                              0.000000       
                                          8     1.1400  7.026E-03  7.027E-03  6.030E-05
                                          7     1.3040  4.918E-03  4.919E-03  1.174E-04
                                          6     1.3560  2.375E-01  2.375E-01  1.856E-04
                                          5     1.4340  1.967E-02  1.968E-02  9.960E-05
                                          3     1.9270  4.918E-03  4.919E-03  1.719E-04
                                          2     2.3060  2.248E-02  2.250E-02  4.800E-04
                                          1     4.0230  7.026E-01  7.034E-01  1.128E-03
 27   4.030700   3.5 -1             5 u                    7/2-  0                                                                                                                                                                                                                              0.000000       
                                          8     1.1480  3.883E-03  3.883E-03  6.320E-05
                                          5     1.4420  2.912E-03  2.913E-03  1.015E-04
                                          3     1.9340  1.941E-03  1.942E-03  1.737E-04
                                          2     2.3140  1.941E-02  1.942E-02  4.830E-04
                                          1     4.0310  9.707E-01  9.718E-01  1.133E-03
 28   4.245000   2.5  1             9 u                    5/2+  0                                                                                                                                                                                                                              0.000000       
                                         10     1.2320  1.480E-01  1.480E-01  1.074E-04
                                          8     1.3630  1.173E-01  1.174E-01  8.630E-05
                                          7     1.5260  1.020E-03  1.021E-03  1.393E-04
                                          6     1.5780  4.286E-02  4.286E-02  1.237E-04
                                          5     1.6570  4.082E-03  4.083E-03  4.040E-04
                                          4     1.8300  6.122E-03  6.126E-03  5.300E-04
                                          3     2.1490  5.102E-01  5.104E-01  3.330E-04
                                          2     2.5290  2.041E-03  2.043E-03  9.830E-04
                                          1     4.2450  1.679E-01  1.682E-01  1.772E-03
 29   4.328000   2.5  1             5 u                    5/2+  0                                                                                                                                                                                                                              0.000000       
                                          6     1.6610  9.509E-03  9.511E-03  1.694E-04
                                          5     1.7400  1.823E-01  1.823E-01  4.650E-04
                                          4     1.9130  8.717E-03  8.722E-03  5.890E-04
                                          3     2.2320  5.547E-03  5.549E-03  4.070E-04
                                          1     4.3280  7.924E-01  7.939E-01  1.798E-03
 30   4.441000   2.5 -1             6 c             (5/2-,7/2-)  0                                                                                                                                                                                                                              0.000000       
                                         11     1.2550  2.052E-01  2.052E-01  7.310E-05
                                          8     1.5580  7.979E-02  7.982E-02  3.280E-04
                                          7     1.7210  7.599E-03  7.600E-03  1.273E-04
                                          6     1.7730  3.192E-01  3.193E-01  4.890E-04
                                          5     1.8520  7.599E-03  7.601E-03  2.425E-04
                                          1     4.4400  3.800E-01  3.804E-01  1.260E-03
 31   4.502000   1.5  1  4.562E-19  0 u                    3/2+  0                                                                                                                                                                                                                              0.000000       
 32   4.514000   4.5  1             1 u                  (9/2+)  0                                                                                                                                                                                                                              0.000000       
                                          1     4.5140  9.981E-01  1.000E+00  1.868E-03
 33   4.535000   1.5 -1  3.802E-20  0 u                    3/2-  0                                                                                                                                                                                                                              0.000000       
 34   4.644000   0.5 -1  1.267E-20  0                      1/2-  0                                                                                                                                                                                                                              0.000000       
 35   4.656000  -1.0  0             0            (1/2,3/2,5/2)+  0                                                                                                                                                                                                                              0.000000       
 36   4.777000   1.5  1  1.521E-19  0                      3/2+  0                                                                                                                                                                                                                              0.000000       
 37   4.810000  -1.0  0             1          (5/2-,7/2-,9/2+)  0                                                                                                                                                                                                                              0.000000       
                                          1     4.8100  1.000E+00  1.000E+00  0.000E+00
 38   4.867000   2.5  1  2.281E-19  1                      5/2+  0                                                                                                                                                                                                                              0.000000       
                                          1     4.8670  9.980E-01  1.000E+00  1.976E-03
 39   4.929000   2.5  1             0                      5/2+  0                                                                                                                                                                                                                              0.000000       
 40   4.947000   2.5  1  4.562E-19  0                      5/2+  0                                                                                                                                                                                                                              0.000000       
 41   4.949000   2.5 -1  2.281E-19  1                      5/2-  0                                                                                                                                                                                                                              0.000000       
                                          1     4.9490  9.987E-01  1.000E+00  1.344E-03
 42   5.011000   3.5 -1             1                    (7/2-)  0                                                                                                                                                                                                                              0.000000       
                                          1     5.0110  9.986E-01  1.000E+00  1.410E-03
 43   5.023000   0.5  1  7.604E-20  0                      1/2+  0                                                                                                                                                                                                                              0.000000       
